,nível,estado,Francisco Gross,Pacotuba,São João,data_hora
140,1.3,Subindo,111.0,248.38,42.45,2021-12-08 15:00:00
141,1.2,Baixando,104.37,234.3,38.0,2021-12-08 17:00:00
142,1.1,Baixando,96.21,207.29,35.86,2021-12-08 19:00:00
143,1.0,Baixando,104.37,194.37,34.13,2021-12-08 21:00:00
144,0.9,Baixando,102.72,179.39,33.44,2021-12-08 23:00:00
145,0.7,,86.63,169.71,34.47,2021-12-09 02:00:00
146,1.2,Subindo,133.22,493.53,30.78,2022-01-08 08:00:00
147,1.5,Subindo,133.22,505.43,31.43,2022-01-08 10:00:00
148,1.8,Subindo,122.85,462.43,31.11,2022-01-08 12:00:00
149,1.9,Subindo,114.36,424.91,30.13,2022-01-08 14:00:00
150,1.9,Estável,116.04,388.88,30.13,2022-01-08 16:00:00
151,1.8,Baixando,114.36,357.75,30.78,2022-01-08 18:00:00
152,1.6,Baixando,112.68,354.36,36.21,2022-01-08 20:00:00
153,1.2,Baixando,128.01,344.3,43.21,2022-01-08 22:00:00
167,3.0,Estável,161.81,334.38,43.21,2022-01-09 00:00:00
154,1.6,Subindo,262.86,497.48,265.83,2022-01-09 06:00:00
155,1.7,Subindo,300.35,575.41,357.99,2022-01-09 08:00:00
156,1.9,Subindo,367.56,627.37,379.03,2022-01-09 10:00:00
157,1.95,Subindo,405.73,681.45,355.92,2022-01-09 12:00:00
158,2.1,Subindo,442.45,747.19,325.51,2022-01-09 14:00:00
159,2.3,Subindo,428.6,840.95,304.98,2022-01-09 16:00:00
160,2.5,Subindo,426.3,881.98,292.59,2022-01-09 17:00:00
161,2.6,Subindo,424.0,923.94,278.6,2022-01-09 18:00:00
162,2.7,Subindo,421.71,961.4,262.24,2022-01-09 19:00:00
163,2.8,Subindo,428.6,988.59,246.34,2022-01-09 20:00:00
164,2.9,Subindo,430.9,1010.6,230.91,2022-01-09 21:00:00
165,2.95,Subindo,424.0,1010.6,213.5,2022-01-09 22:00:00
166,3.0,Subindo,419.41,1016.13,196.74,2022-01-09 23:00:00
168,3.0,Estável,403.46,1016.13,161.57,2022-01-10 01:00:00
