id,Data,Hora,Vazao,Nivel,Chuva
200,2023-02-06,19:30:00,74.24,775.00,0.00
201,2023-02-06,19:00:00,71.22,773.00,0.00
202,2023-02-06,18:30:00,71.22,773.00,0.00
203,2023-02-06,18:00:00,71.22,773.00,0.00
204,2023-02-06,17:30:00,71.22,773.00,0.00
205,2023-02-06,17:00:00,71.22,773.00,0.00
206,2023-02-06,16:30:00,71.22,773.00,0.00
207,2023-02-06,16:00:00,71.22,773.00,0.00
208,2023-02-06,15:30:00,71.22,773.00,0.00
209,2023-02-06,15:00:00,71.22,773.00,0.00
210,2023-02-06,14:30:00,71.22,773.00,0.00
211,2023-02-06,14:00:00,72.73,774.00,0.00
212,2023-02-06,13:30:00,71.22,773.00,0.00
213,2023-02-06,13:00:00,71.22,773.00,0.00
214,2023-02-06,12:30:00,71.22,773.00,0.00
215,2023-02-06,12:00:00,71.22,773.00,0.00
216,2023-02-06,11:30:00,72.73,774.00,0.00
217,2023-02-06,11:00:00,71.22,773.00,0.00
218,2023-02-06,10:30:00,72.73,774.00,0.00
219,2023-02-06,10:00:00,72.73,774.00,0.00
220,2023-02-06,09:30:00,72.73,774.00,0.00
221,2023-02-06,09:00:00,72.73,774.00,0.00
222,2023-02-06,08:30:00,72.73,774.00,0.00
223,2023-02-06,08:00:00,71.22,773.00,0.00
224,2023-02-06,07:30:00,72.73,774.00,0.00
225,2023-02-06,07:00:00,72.73,774.00,0.00
226,2023-02-06,06:30:00,71.22,773.00,0.00
227,2023-02-06,06:00:00,71.22,773.00,0.00
228,2023-02-06,05:30:00,71.22,773.00,0.00
229,2023-02-06,05:00:00,71.22,773.00,0.00
230,2023-02-06,04:30:00,71.22,773.00,0.00
231,2023-02-06,04:00:00,71.22,773.00,0.00
232,2023-02-06,03:30:00,71.22,773.00,0.00
233,2023-02-06,03:00:00,71.22,773.00,0.00
234,2023-02-06,02:30:00,72.73,774.00,0.00
235,2023-02-06,02:00:00,71.22,773.00,0.00
