,data,hora,nível,estado
232,2022-01-12,10:00:00,1.3,Baixando
233,2022-01-12,12:00:00,1.2,Baixando
234,2022-01-12,14:00:00,1.0,Baixando
235,2022-02-03,08:00:00,1.05,
236,2022-02-03,10:00:00,1.4,Subindo
237,2022-02-03,12:00:00,1.5,Subindo
238,2022-02-03,14:00:00,1.8,Subindo
239,2022-02-03,16:00:00,1.9,Subindo
240,2022-02-03,18:00:00,2.1,Subindo
241,2022-02-03,20:00:00,1.8,Baixando
242,2022-02-03,22:00:00,1.6,Baixando
243,2022-02-03,00:00:00,1.5,Baixando
244,2022-02-04,00:00:00,1.5,
245,2022-02-04,02:00:00,1.3,Baixando
246,2022-02-04,04:00:00,1.1,Baixando
247,2022-02-04,06:00:00,0.95,Baixando
248,2022-02-04,18:00:00,1.4,Subindo
249,2022-02-04,20:00:00,1.8,Subindo
250,2022-02-04,22:00:00,1.7,Baixando
251,2022-02-04,00:00:00,1.6,Baixando
252,2022-02-05,06:00:00,1.0,
253,2022-02-09,14:00:00,1.1,
254,2022-02-09,16:00:00,1.3,Subindo
255,2022-02-09,18:00:00,1.5,Subindo
256,2022-02-09,20:00:00,1.8,Subindo
257,2022-02-09,22:00:00,1.9,Subindo
258,2022-02-09,00:00:00,2.1,Subindo
259,2022-02-10,00:00:00,2.1,
260,2022-02-10,02:00:00,2.2,Subindo
261,2022-02-10,04:00:00,1.9,Baixando
262,2022-02-10,06:00:00,1.7,Baixando
263,2022-02-10,08:00:00,1.2,Baixando
264,2022-02-10,10:00:00,1.2,Estável
265,2022-02-10,12:00:00,1.5,Subindo
266,2022-02-10,14:00:00,1.6,Subindo
267,2022-02-10,16:00:00,1.6,Estável
268,2022-02-10,18:00:00,1.6,Estável
269,2022-02-10,20:00:00,1.6,Estável
270,2022-02-10,22:00:00,1.6,Estável
271,2022-02-10,00:00:00,1.6,Estável
272,2022-02-11,00:00:00,1.6,
273,2022-02-11,02:00:00,1.6,Estável
274,2022-02-11,04:00:00,1.6,Estável
275,2022-02-11,06:00:00,1.6,Estável
276,2022-02-11,08:00:00,1.5,Baixando
277,2022-02-11,10:00:00,1.5,Estável
278,2022-02-11,12:00:00,1.6,Subindo
279,2022-02-11,14:00:00,1.65,Subindo
280,2022-02-11,16:00:00,1.6,Baixando
281,2022-02-11,18:00:00,1.6,Estável
282,2022-02-11,20:00:00,1.6,Estável
283,2022-02-11,22:00:00,1.6,Estável
284,2022-02-11,00:00:00,1.7,Subindo
285,2022-02-12,00:00:00,1.7,
286,2022-02-12,02:00:00,1.8,Subindo
287,2022-02-12,04:00:00,1.9,Subindo
288,2022-02-12,06:00:00,1.9,Estável
289,2022-02-12,08:00:00,1.9,Estável
290,2022-02-12,10:00:00,1.9,Estável
291,2022-02-12,12:00:00,1.9,Estável
292,2022-02-12,14:00:00,1.9,Estável
293,2022-02-12,16:00:00,1.8,Baixando
294,2022-02-12,18:00:00,1.75,Baixando
295,2022-02-12,20:00:00,1.65,Baixando
296,2022-02-12,22:00:00,1.6,Baixando
297,2022-02-12,00:00:00,1.55,Baixando
298,2022-02-13,02:00:00,1.5,Baixando
299,2022-02-13,04:00:00,1.4,Baixando
300,2022-02-13,06:00:00,1.3,Baixando
301,2022-02-13,08:00:00,1.2,Baixando
302,2022-02-13,10:00:00,1.0,Baixando
303,2022-02-17,00:00:00,1.0,
304,2022-02-17,02:00:00,1.15,Subindo
305,2022-02-17,04:00:00,1.24,Subindo
306,2022-02-17,06:00:00,1.42,Subindo
307,2022-02-17,08:00:00,1.5,Subindo
308,2022-02-17,10:00:00,1.25,Baixando
309,2022-02-17,12:00:00,0.98,Baixando
310,2022-02-19,10:00:00,1.0,
311,2022-02-19,12:00:00,1.1,Subindo
312,2022-02-19,14:00:00,1.2,Subindo
313,2022-02-19,16:00:00,1.35,Subindo
314,2022-02-19,18:00:00,1.5,Subindo
315,2022-02-19,20:00:00,1.6,Subindo
316,2022-02-19,22:00:00,1.65,Subindo
317,2022-02-19,00:00:00,1.65,Estável
318,2022-02-20,00:00:00,1.65,
